Days_Count,population,Area,Density,count
20,0,10,0.0,295
17,0,5,0.0,234
1,0,2,0.0,0
1,0,2,0.0,0
21,1,5,0.2,433
15,1,10,0.1,49
14,1,10,0.1,49
13,1,10,0.1,48
12,1,10,0.1,44
24,1,5,0.2,436
23,1,5,0.2,434
22,1,5,0.2,431
21,1,5,0.2,427
23,1,5,0.2,439
1,1,10,0.1,1
18,1,10,0.1,65
18,1,15,0.06666666666666667,462
16,1,10,0.1,52
10,1,1,0.6666666666666666,23
9,1,1,0.6666666666666666,20
8,1,1,0.6666666666666666,19
7,1,1,0.6666666666666666,17
6,1,1,0.6666666666666666,14
5,1,1,0.6666666666666666,13
4,1,1,0.6666666666666666,12
3,1,1,0.6666666666666666,5
2,1,1,0.6666666666666666,1
1,1,1,0.6666666666666666,0
1,1,10,0.1,0
15,1,10,0.1,55
9,1,10,0.1,30
8,1,10,0.1,28
7,1,10,0.1,24
6,1,10,0.1,23
5,1,10,0.1,18
4,1,10,0.1,14
3,1,10,0.1,12
2,1,10,0.1,6
5,1,10,0.1,20
4,1,10,0.1,11
17,1,10,0.1,64
16,1,10,0.1,60
19,1,10,0.1,56
14,1,10,0.1,48
8,1,10,0.1,37
7,1,10,0.1,30
6,1,10,0.1,23
5,1,10,0.1,15
4,1,10,0.1,11
3,1,10,0.1,6
2,1,10,0.1,2
25,1,5,0.2,407
18,1,10,0.1,56
17,1,10,0.1,55
2,1,1,0.6666666666666666,7
14,1,10,0.1,77
13,1,10,0.1,75
12,1,1,0.6666666666666666,30
11,1,1,0.6666666666666666,28
10,1,1,0.6666666666666666,27
9,1,1,0.6666666666666666,27
8,1,1,0.6666666666666666,25
7,1,1,0.6666666666666666,24
6,1,1,0.6666666666666666,20
5,1,1,0.6666666666666666,20
4,1,1,0.6666666666666666,16
3,1,1,0.6666666666666666,14
24,1,5,0.2,434
1,1,1,0.6666666666666666,2
11,1,1,0.6666666666666666,40
10,1,1,0.6666666666666666,40
3,1,1,0.6666666666666666,8
2,1,1,0.6666666666666666,3
15,1,1,0.6666666666666666,45
14,1,1,0.6666666666666666,44
13,1,1,0.6666666666666666,44
12,1,1,0.6666666666666666,38
11,1,1,0.6666666666666666,32
10,1,1,0.6666666666666666,28
19,1,15,0.06666666666666667,463
12,1,10,0.1,68
11,1,10,0.1,60
10,1,10,0.1,53
9,1,10,0.1,45
20,1,5,0.2,427
24,1,5,0.2,433
7,1,1,0.6666666666666666,27
6,1,1,0.6666666666666666,22
5,1,1,0.6666666666666666,15
4,1,1,0.6666666666666666,13
22,1,5,0.2,438
10,1,10,0.1,35
1,1,1,0.6666666666666666,0
19,1,1,0.6666666666666666,48
18,1,1,0.6666666666666666,48
17,1,1,0.6666666666666666,42
16,1,1,0.6666666666666666,38
15,1,1,0.6666666666666666,35
14,1,1,0.6666666666666666,33
13,1,1,0.6666666666666666,30
