Days_Count,population,Area,Density,count
1,1,0.5,2.0,0
2,1,0.5,2.0,0
3,1,0.5,2.0,2
4,1,0.5,2.0,6
5,1,0.5,2.0,9
6,1,0.5,2.0,13
7,1,0.5,2.0,16
8,1,0.5,2.0,18
9,1,0.5,2.0,21
11,1,0.5,2.0,28
12,1,0.5,2.0,37
13,1,0.5,2.0,40
14,1,0.5,2.0,43
15,1,0.5,2.0,46
16,1,0.5,2.0,48
17,1,0.5,2.0,50
1,1,0.5,2.0,0
2,1,0.5,2.0,0
3,1,0.5,2.0,4
4,1,0.5,2.0,10
5,1,0.5,2.0,16
6,1,0.5,2.0,20
7,1,0.5,2.0,24
8,1,0.5,2.0,25
9,1,0.5,2.0,32
11,1,0.5,2.0,46
12,1,0.5,2.0,55
13,1,0.5,2.0,63
14,1,0.5,2.0,72
15,1,0.5,2.0,79
16,1,0.5,2.0,82
17,1,0.5,2.0,85
18,1,0.5,2.0,87
19,1,0.5,2.0,89
20,1,0.5,2.0,90
21,1,0.5,2.0,93
22,1,0.5,2.0,95
1,1,0.5,2.0,0
2,1,0.5,2.0,6
3,1,0.5,2.0,10
4,1,0.5,2.0,14
5,1,0.5,2.0,16
6,1,0.5,2.0,20
7,1,0.5,2.0,23
8,1,0.5,2.0,29
10,1,0.5,2.0,37
11,1,0.5,2.0,41
12,1,0.5,2.0,45
13,1,0.5,2.0,48
14,1,0.5,2.0,51
15,1,0.5,2.0,53
16,1,0.5,2.0,54
1,1,0.5,2.0,0
2,1,0.5,2.0,0
3,1,0.5,2.0,0
4,1,0.5,2.0,0
5,1,0.5,2.0,0
6,1,0.5,2.0,0
7,1,0.5,2.0,0
8,1,0.5,2.0,0
9,1,0.5,2.0,0
10,1,0.5,2.0,0
11,1,0.5,2.0,0
12,1,0.5,2.0,0
1,1,0.5,2.0,0
2,1,0.5,2.0,5
3,1,0.5,2.0,10
4,1,0.5,2.0,15
5,1,0.5,2.0,17
6,1,0.5,2.0,22
7,1,0.5,2.0,23
8,1,0.5,2.0,27
10,1,0.5,2.0,33
11,1,0.5,2.0,39
12,1,0.5,2.0,46
13,1,0.5,2.0,54
14,1,0.5,2.0,61
15,1,0.5,2.0,64
16,1,0.5,2.0,65
17,1,0.5,2.0,66
1,1,0.5,2.0,0
2,1,0.5,2.0,3
3,1,0.5,2.0,6
4,1,0.5,2.0,9
5,1,0.5,2.0,12
6,1,0.5,2.0,15
7,1,0.5,2.0,16
8,1,0.5,2.0,19
10,1,0.5,2.0,26
11,1,0.5,2.0,30
12,1,0.5,2.0,35
13,1,0.5,2.0,38
14,1,0.5,2.0,41
15,1,0.5,2.0,43
16,1,0.5,2.0,44
1,1,0.5,2.0,0
2,1,0.5,2.0,4
3,1,0.5,2.0,10
4,1,0.5,2.0,16
5,1,0.5,2.0,21
6,1,0.5,2.0,25
7,1,0.5,2.0,26
8,1,0.5,2.0,30
9,1,0.5,2.0,30
10,1,0.5,2.0,37
11,1,0.5,2.0,40
12,1,0.5,2.0,45
13,1,0.5,2.0,49
14,1,0.5,2.0,54
15,1,0.5,2.0,58
16,1,0.5,2.0,60
1,1,0.5,2.0,0
2,1,0.5,2.0,2
3,1,0.5,2.0,5
4,1,0.5,2.0,9
5,1,0.5,2.0,14
6,1,0.5,2.0,18
7,1,0.5,2.0,19
8,1,0.5,2.0,23
9,1,0.5,2.0,23
10,1,0.5,2.0,31
11,1,0.5,2.0,37
12,1,0.5,2.0,42
13,1,0.5,2.0,44
14,1,0.5,2.0,46
15,1,0.5,2.0,46
1,1,0.5,2.0,0
2,1,0.5,2.0,3
3,1,0.5,2.0,7
4,1,0.5,2.0,11
5,1,0.5,2.0,16
6,1,0.5,2.0,22
7,1,0.5,2.0,28
8,1,0.5,2.0,30
9,1,0.5,2.0,30
10,1,0.5,2.0,37
11,1,0.5,2.0,40
12,1,0.5,2.0,43
13,1,0.5,2.0,47
14,1,0.5,2.0,51
15,1,0.5,2.0,51
1,1,0.5,2.0,0
2,1,0.5,2.0,2
3,1,0.5,2.0,4
4,1,0.5,2.0,6
5,1,0.5,2.0,8
6,1,0.5,2.0,12
7,1,0.5,2.0,18
8,1,0.5,2.0,18
9,1,0.5,2.0,28
10,1,0.5,2.0,35
11,1,0.5,2.0,38
12,1,0.5,2.0,47
13,1,0.5,2.0,53
14,1,0.5,2.0,58
15,1,0.5,2.0,61
16,1,0.5,2.0,63
1,1,0.5,2.0,1
2,1,0.5,2.0,4
3,1,0.5,2.0,7
4,1,0.5,2.0,11
5,1,0.5,2.0,13
6,1,0.5,2.0,16
7,1,0.5,2.0,21
8,1,0.5,2.0,21
9,1,0.5,2.0,26
10,1,0.5,2.0,29
11,1,0.5,2.0,34
12,1,0.5,2.0,38
13,1,0.5,2.0,42
14,1,0.5,2.0,44
15,1,0.5,2.0,46
1,1,0.5,2.0,0
2,1,0.5,2.0,1
3,1,0.5,2.0,3
4,1,0.5,2.0,5
5,1,0.5,2.0,6
6,1,0.5,2.0,9
7,1,0.5,2.0,13
8,1,0.5,2.0,13
9,1,0.5,2.0,21
10,1,0.5,2.0,26
11,1,0.5,2.0,28
12,1,0.5,2.0,32
13,1,0.5,2.0,35
14,1,0.5,2.0,35
1,1,0.5,2.0,0
2,1,0.5,2.0,3
3,1,0.5,2.0,6
4,1,0.5,2.0,9
5,1,0.5,2.0,9
6,1,0.5,2.0,16
7,1,0.5,2.0,21
8,1,0.5,2.0,23
9,1,0.5,2.0,27
10,1,0.5,2.0,30
11,1,0.5,2.0,32
12,1,0.5,2.0,36
13,1,0.5,2.0,41
14,1,0.5,2.0,44
15,1,0.5,2.0,45
1,1,0.5,2.0,0
2,1,0.5,2.0,0
3,1,0.5,2.0,0
4,1,0.5,2.0,1
5,1,0.5,2.0,5
6,1,0.5,2.0,13
7,1,0.5,2.0,19
8,1,0.5,2.0,23
9,1,0.5,2.0,25
10,1,0.5,2.0,29
11,1,0.5,2.0,32
12,1,0.5,2.0,35
13,1,0.5,2.0,38
14,1,0.5,2.0,41
15,1,0.5,2.0,44
16,1,0.5,2.0,46
17,1,0.5,2.0,48
1,1,0.5,2.0,0
2,1,0.5,2.0,0
3,1,0.5,2.0,8
4,1,0.5,2.0,13
5,1,0.5,2.0,17
6,1,0.5,2.0,24
7,1,0.5,2.0,30
8,1,0.5,2.0,31
9,1,0.5,2.0,32
10,1,0.5,2.0,35
11,1,0.5,2.0,39
12,1,0.5,2.0,42
13,1,0.5,2.0,45
14,1,0.5,2.0,49
15,1,0.5,2.0,52
16,1,0.5,2.0,53
1,1,0.5,2.0,0
2,1,0.5,2.0,0
3,1,0.5,2.0,5
4,1,0.5,2.0,12
5,1,0.5,2.0,17
6,1,0.5,2.0,22
7,1,0.5,2.0,26
8,1,0.5,2.0,28
9,1,0.5,2.0,31
10,1,0.5,2.0,35
11,1,0.5,2.0,38
12,1,0.5,2.0,40
13,1,0.5,2.0,41
14,1,0.5,2.0,41
1,1,0.5,2.0,0
2,1,0.5,2.0,0
3,1,0.5,2.0,3
4,1,0.5,2.0,10
5,1,0.5,2.0,16
6,1,0.5,2.0,25
7,1,0.5,2.0,33
8,1,0.5,2.0,37
9,1,0.5,2.0,42
10,1,0.5,2.0,43
11,1,0.5,2.0,43
12,1,0.5,2.0,45
13,1,0.5,2.0,48
14,1,0.5,2.0,53
15,1,0.5,2.0,57
16,1,0.5,2.0,59
17,1,0.5,2.0,59
1,1,0.5,2.0,0
2,1,0.5,2.0,0
3,1,0.5,2.0,5
4,1,0.5,2.0,8
5,1,0.5,2.0,16
6,1,0.5,2.0,25
7,1,0.5,2.0,27
8,1,0.5,2.0,29
9,1,0.5,2.0,33
10,1,0.5,2.0,38
11,1,0.5,2.0,41
12,1,0.5,2.0,45
13,1,0.5,2.0,52
14,1,0.5,2.0,57
15,1,0.5,2.0,60
16,1,0.5,2.0,61
17,1,0.5,2.0,61
1,1,0.5,2.0,0
2,1,0.5,2.0,0
3,1,0.5,2.0,1
4,1,0.5,2.0,5
5,1,0.5,2.0,9
6,1,0.5,2.0,14
7,1,0.5,2.0,20
8,1,0.5,2.0,22
9,1,0.5,2.0,22
10,1,0.5,2.0,25
11,1,0.5,2.0,28
12,1,0.5,2.0,32
13,1,0.5,2.0,35
14,1,0.5,2.0,40
15,1,0.5,2.0,42
16,1,0.5,2.0,44
1,1,0.5,2.0,1
2,1,0.5,2.0,6
3,1,0.5,2.0,11
4,1,0.5,2.0,16
5,1,0.5,2.0,20
6,1,0.5,2.0,25
7,1,0.5,2.0,27
8,1,0.5,2.0,28
